d3mIndex,log(wdi.pop),nvc.start.1
5,15.987353507615952,0.0
6,16.007559989526207,0.0
7,16.028366000991802,0.0
8,16.049764025086006,0.0
9,16.071751248473962,0.0
10,16.094316658390046,0.0
11,16.117107663058967,0.0
12,16.140043231099465,0.0
13,16.163620489750787,0.0
14,16.188478715678713,0.0
15,16.214824914296234,0.0
16,16.242386001375,0.0
17,16.27033396051349,0.0
18,16.297609269180047,0.0
19,16.322960275954202,0.0
20,16.345373842853522,0.0
21,16.365487618661398,0.0
22,16.383107177564117,0.0
23,16.39569685678751,0.0
24,16.40004592801083,0.0
25,16.394243787566182,0.0
26,16.377670490132388,0.0
27,16.351941250515367,0.0
28,16.320377338983928,0.0
29,16.288193214920895,0.0
30,16.260374163243892,0.0
31,16.236983764679845,0.0
32,16.219126436849514,0.0
33,16.214618277270414,0.0
34,16.232791526235044,0.0
35,16.27776192048789,0.0
36,16.350162709092597,0.0
37,16.44103935975117,0.0
38,16.535181311484457,0.0
39,16.6179625263891,0.0
40,16.682617839941695,0.0
41,16.728692778914304,0.0
42,16.761066071468935,0.0
43,16.785762753958725,0.0
44,16.810596172479368,0.0
45,16.840576365670408,0.0
46,16.876458404654397,0.0
47,16.915729235251554,0.0
48,16.95604171933224,0.0
49,16.994342502169765,0.0
50,17.028805036053978,0.0
51,17.059324116597708,0.0
52,17.086950103886217,0.0
53,17.11253919500878,0.0
54,17.137238487055225,0.0
60,14.29099911744058,0.0
61,14.322207671146483,0.0
62,14.352774976174393,0.0
63,14.382312463794355,0.0
64,14.411119328056788,0.0
65,14.438659540437213,0.0
66,14.46500517923262,0.0
67,14.491307082687573,0.0
68,14.519732189792464,0.0
69,14.548693023669788,0.0
70,14.57420153545272,0.0
71,14.59843125562351,0.0
72,14.623380986690538,0.0
73,14.647006508929026,0.0
74,14.669978650685715,0.0
75,14.692990188782654,0.0
76,14.71507254133241,0.0
77,14.737205063120966,0.0
78,14.757962482074218,0.0
79,14.777857052269932,0.0
80,14.798336690883554,0.0
81,14.818366433947642,0.0
82,14.839499151772973,0.0
83,14.860708005108751,0.0
84,14.881747371288952,0.0
85,14.902307317377666,0.0
86,14.92163952548604,0.0
87,14.941609925047315,0.0
88,14.960477030336106,0.0
89,14.987355650223508,1.0
90,15.005346506156824,0.0
91,14.999318409362026,0.0
92,14.993254062100007,0.0
93,14.987152404172704,0.0
94,14.98101359910341,0.0
95,14.974836562519041,0.0
96,14.968621448528864,0.0
97,14.962367147559867,0.0
98,14.956073803634608,0.0
99,14.949740280894735,0.0
100,14.943366712555301,0.0
101,14.935268036340478,0.0
102,14.931119908019548,0.0
103,14.925280039693375,0.0
104,14.918970743235981,0.0
105,14.91169456741403,0.0
106,14.903408317187171,0.0
107,14.894219414255545,0.0
108,14.884542634161642,0.0
109,14.874793834281624,0.0
110,16.287410317042408,0.0
111,16.311717369747598,0.0
112,16.336682837791308,0.0
113,16.362694110858694,0.0
114,16.3898702680722,0.0
115,16.41794665570246,0.0
116,16.446466949116967,0.0
117,16.47484841186923,0.0
118,16.502735749315427,0.0
119,16.530086884178036,0.0
120,16.55711751352866,0.0
121,16.584065781574346,0.0
122,16.611246247680697,0.0
123,16.63888245700375,0.0
124,16.666879094609634,0.0
125,16.695188450876483,0.0
126,16.724078806514882,0.0
127,16.75386204589672,0.0
128,16.78465262463413,0.0
129,16.81642592604687,0.0
130,16.848854943874432,0.0
131,16.881388012175254,0.0
132,16.91336986008675,0.0
133,16.944349502711407,0.0
134,16.974185448747715,0.0
135,17.002926592457396,0.0
136,17.030576373957675,0.0
137,17.057188272546956,0.0
138,17.082784393929465,0.0
139,17.107401240611456,0.0
140,17.130973964593228,0.0
141,17.153326437772712,0.0
142,17.174243938027885,0.0
143,17.193625682217863,0.0
144,17.2115348489022,0.0
145,17.228157673865105,0.0
146,17.243688501968187,0.0
147,17.258371020334508,0.0
148,17.272440583836037,0.0
149,17.285929167260353,0.0
150,17.298993576207117,0.0
151,17.312122417021875,0.0
152,17.325901449965514,0.0
153,17.34072050915992,0.0
154,17.356678961592202,0.0
155,17.37362743987304,0.0
156,17.391371834558676,0.0
157,17.409620491091562,0.0
158,15.708265228715506,0.0
159,15.73371661088968,0.0
160,15.75992673445526,0.0
161,15.787428691063292,0.0
162,15.816882984821026,0.0
163,15.848533876447238,0.0
164,15.882609998286885,0.0
165,15.918435811076135,0.0
166,15.954383539313525,0.0
167,15.98852816310107,0.0
168,16.019782025322698,0.0
169,16.04774593079697,0.0
170,16.073205183079473,0.0
171,16.09769445455539,0.0
172,16.123195922433506,0.0
173,16.150934891915053,0.0
174,16.181326473680908,0.0
175,16.213656526608542,0.0
176,16.24667846956256,0.0
177,16.27880466354419,0.0
178,16.30912518304284,0.0
179,16.33738739357275,0.0
180,16.364282689949945,0.0
181,16.390984491117514,0.0
182,16.418986304751847,0.0
183,16.449191316835005,0.0
184,16.481716228045038,0.0
185,16.515970290879128,0.0
186,16.551245638325792,0.0
187,16.586642907708278,0.0
188,16.621556783304758,0.0
189,16.6558986313956,0.0
190,16.68979945498032,0.0
191,16.723200432298743,0.0
192,16.756081539748845,0.0
198,16.841965907186697,0.0
199,16.85809020492939,0.0
200,16.873996479466964,0.0
201,16.889631279350482,0.0
202,16.904913121984233,0.0
203,16.91981993341143,0.0
204,16.934295823197647,0.0
205,16.948457052945948,0.0
206,16.962645539125973,0.0
207,16.977294202093187,0.0
208,16.992669488008367,0.0
209,17.008890507713122,0.0
210,17.025782676872872,0.0
211,17.04296262153844,0.0
212,17.05991895475334,0.0
213,17.076312778477238,0.0
214,17.092045104830756,1.0
215,17.107256251709696,0.0
216,17.122144224481357,0.0
217,17.13699394458764,0.0
218,17.1519964257487,0.0
219,17.167171802288188,0.0
220,17.18242938585991,0.0
221,17.197708725507436,0.0
222,17.212919572817913,0.0
223,17.227991341940918,0.0
224,17.24291098816965,1.0
225,17.257676291435935,0.0
226,17.272241884731223,0.0
227,17.28655755067388,0.0
228,17.300585561530713,0.0
229,17.314294133405387,0.0
230,17.327676789138476,0.0
231,17.34075124991947,0.0
232,17.35354802332403,0.0
233,17.366080594278287,0.0
234,17.378375156519976,0.0
235,17.390402894051952,0.0
236,17.402062170988472,0.0
237,17.413221588348545,0.0
238,17.423805222087932,0.0
239,17.43378944715874,0.0
240,17.443246919941767,0.0
241,17.452317756484405,0.0
242,17.46118964459492,0.0
243,17.470001807523467,0.0
244,17.478788138109973,0.0
245,17.487532646736756,0.0
246,17.49625912079059,0.0
247,17.50498086249172,0.0
248,15.071671176475606,0.0
249,15.053738981276664,0.0
250,15.030326264979625,0.0
251,15.006380797363509,0.0
252,14.98587683605576,0.0
253,14.97032200423685,0.0
254,14.958985307463836,0.0
255,14.951083957524185,0.0
256,14.944917131305793,0.0
257,14.939172468658034,0.0
258,14.9339124019477,0.0
259,14.929668714350958,0.0
260,14.926061957626564,0.0
261,14.92263716341236,0.0
262,14.919082858742936,0.0
263,14.915092709496644,1.0
264,14.910744479705167,0.0
265,14.906590549976773,0.0
266,14.903450768715787,0.0
272,16.145368054974607,0.0
273,16.16526545543471,0.0
274,16.189671849447542,0.0
275,16.208850014226783,0.0
276,16.22847355842793,0.0
277,16.248070727380064,0.0
278,16.27090257120208,0.0
279,16.283525340082058,0.0
280,16.30116692664282,0.0
281,16.322097156744164,0.0
282,16.341799045531044,0.0
283,16.37560198090004,0.0
284,16.39398344352739,0.0
285,16.409271612664355,0.0
286,16.43458381525177,0.0
287,16.446895674131,0.0
288,16.456922256733268,0.0
289,16.468188983531498,0.0
290,16.47981783611857,0.0
291,16.490624258820223,0.0
292,16.502813685921694,0.0
293,16.518682211615378,0.0
294,16.535357568945994,0.0
295,16.54786305158945,0.0
296,16.559185270039414,0.0
297,16.572858730787768,0.0
298,16.589248619460573,0.0
299,16.604458485722475,0.0
300,16.6208205522904,0.0
301,16.63774622009347,0.0
302,16.652546000253036,0.0
303,16.66529177603396,0.0
304,16.677425683783927,0.0
305,16.687209050594813,0.0
306,16.697794139010686,0.0
307,16.709874337129975,0.0
308,16.72301253012385,0.0
309,16.734199787019953,0.0
310,16.74462214417637,0.0
311,16.756047196050314,0.0
312,16.767969919284802,0.0
313,16.781453502707514,0.0
314,16.793659140560948,0.0
315,16.805999107195213,0.0
316,16.817592628817014,0.0
317,16.830790524360633,0.0
318,16.84554280381391,0.0
319,16.851789588164053,0.0
320,16.871829805567213,0.0
321,16.892440256864052,0.0
327,15.768189035832355,0.0
328,15.773673759396534,0.0
329,15.77980271787476,0.0
330,15.786226344581282,0.0
331,15.792891826634193,0.0
332,15.79938912538996,0.0
333,15.806403086552312,0.0
334,15.813877338753484,0.0
335,15.819069881369275,0.0
336,15.822523197831721,0.0
337,15.82601538729449,0.0
338,15.830477843108193,0.0
339,15.836289746630845,0.0
340,15.841830160620427,0.0
341,15.843532218297401,0.0
342,15.840879024190032,0.0
343,15.839112301342563,0.0
344,15.839496206281574,0.0
345,15.838686595864825,0.0
346,15.836981959384573,0.0
347,15.836983019067366,0.0
348,15.839533201381053,0.0
349,15.840250371561401,0.0
350,15.83863436174886,0.0
351,15.838571412707939,0.0
352,15.83904092238703,0.0
353,15.839676412361722,0.0
354,15.840309254400804,0.0
355,15.84172496290399,0.0
356,15.846230101901295,0.0
357,15.853850118014455,0.0
358,15.863834299045902,0.0
359,15.874839821911182,0.0
360,15.883086101321132,0.0
361,15.886934796787918,0.0
362,15.888465859394946,0.0
363,15.889816057732432,0.0
364,15.890949223815662,0.0
365,15.892046507496671,0.0
366,15.893992139029322,0.0
367,15.896396805553787,0.0
368,15.900224799498618,0.0
369,15.90514460414117,0.0
370,15.910015943089439,0.0
371,15.916220074362784,0.0
372,15.923032746845779,0.0
373,15.927980724596765,0.0
374,15.931861008019368,0.0
375,15.93620512125884,0.0
376,15.939599766937404,0.0
377,15.799404391632194,0.0
378,15.81455516257208,0.0
379,15.829746689518835,0.0
380,15.843263990485358,0.0
381,15.854780934954832,0.0
382,15.864879415387813,0.0
383,15.87452615312486,0.0
384,15.884017534591331,0.0
385,15.892793521589901,0.0
386,15.90100872122664,0.0
387,15.908756380620508,0.0
388,15.916218116447675,0.0
389,15.923794626003845,0.0
390,15.93254889880867,0.0
391,15.942771554732651,0.0
392,15.953757420476835,0.0
393,15.9650959751384,0.0
394,15.986094515464325,0.0
395,16.00685599810279,0.0
396,12.108950324789815,0.0
397,12.128635290974815,0.0
398,12.14887776043692,0.0
399,12.169953118723788,0.0
400,12.191557813171926,0.0
401,12.213599249449587,0.0
402,12.235815896779373,0.0
403,12.258000738390537,0.0
404,12.28027061363414,0.0
405,12.302627504944804,0.0
406,12.324673124766276,0.0
407,12.345895455618074,0.0
408,12.36599520738065,0.0
409,12.384783525000412,0.0
410,12.402449134069302,0.0
411,12.41950923637424,0.0
412,12.436640567868235,0.0
413,12.454252165115593,0.0
414,12.472666414558306,0.0
415,12.491616182945071,0.0
416,12.510261478695506,0.0
417,12.527503758028331,0.0
418,12.542723437637978,0.0
419,12.555595071085776,0.0
420,12.566697279165185,0.0
421,12.577380996986845,0.0
422,12.58943528373039,0.0
423,12.60403971346098,0.0
424,12.621504586005518,0.0
425,12.64122276150785,0.0
426,12.66230691068991,0.0
427,12.683548289614608,0.0
428,12.704080471185506,0.0
429,12.723740805657833,0.0
430,12.74270928063568,0.0
431,12.760934293285775,0.0
432,12.778441057703912,0.0
433,12.305048824612776,0.0
434,12.344041677253331,0.0
435,12.387810698785712,0.0
436,12.437735801726786,0.0
437,12.493827215353956,0.0
438,12.556176547382336,0.0
439,12.622266659211324,0.0
440,12.68698839543619,0.0
441,12.744987059560506,0.0
442,12.793587051150874,0.0
443,12.832345245155,0.0
444,12.863463106378,0.0
445,12.890297641513381,0.0
446,12.917116225923918,0.0
447,12.946640004638601,0.0
448,12.979626313741539,0.0
449,13.01479152966406,0.0
450,13.050338771995747,0.0
451,13.08391772381477,0.0
452,13.114218296107211,0.0
453,13.141469683894064,0.0
454,13.166860530249355,0.0
455,13.191350115539136,0.0
456,13.216163326475,0.0
457,13.242330692451308,0.0
458,13.270260832223869,0.0
459,13.300342184764144,0.0
460,13.333494264717537,0.0
461,13.37064900126226,0.0
462,13.412401172960331,0.0
463,13.45704687232341,0.0
464,13.504274591003194,0.0
465,13.55681495571851,0.0
466,13.617675283338931,0.0
467,13.687147500741133,0.0
468,13.765217815489251,0.0
469,13.847351220799988,0.0
470,13.92529547152291,0.0
471,13.990756306835866,0.0
472,18.02953070458283,0.0
473,18.04569736157537,0.0
474,18.060442559204613,0.0
475,18.076544024076593,0.0
476,18.095852869828864,0.0
477,18.118827587654906,0.0
478,18.144664810041547,0.0
479,18.172368399191672,0.0
480,18.2005547975852,0.0
481,18.228289942035218,0.0
482,18.25538315756068,0.0
483,18.28211477911088,0.0
484,18.308627504118867,0.0
485,18.335169891521552,0.0
486,18.361861537642113,0.0
487,18.388689487190607,1.0
488,18.415436888945827,0.0
489,18.44178856812801,0.0
490,18.467367220731834,0.0
491,18.491938952956996,0.0
492,18.515396110526734,0.0
493,18.53784997349053,0.0
494,18.559551358778336,0.0
495,18.58083756787405,0.0
496,18.601914918093364,0.0
497,18.622812248277146,0.0
498,18.64338671954428,0.0
499,18.66345846915959,0.0
500,18.682789768156525,0.0
501,18.701211796197406,0.0
502,18.71877964486602,0.0
503,18.735537314858924,0.0
504,18.751321625509142,1.0
505,18.7659359754754,0.0
506,18.779300056380954,1.0
507,18.79133838672067,0.0
508,18.802242885451022,0.0
509,18.812519885460514,0.0
510,18.822827686365983,0.0
511,12.371315860789375,0.0
512,12.373559713365673,0.0
513,12.375802761809304,0.0
514,12.378680510136487,0.0
515,12.382610844235062,0.0
516,12.387827375041224,0.0
517,12.39407387573257,0.0
