"d3mIndex","WoredaName","Year","Total_Malaria_Confirmed_and_Clinical","TMalaria_OutP_Cases","TMalaria_InP_Cases","TMalaria_InP_Deaths","TMSuspected_Fever_Examined","PosMalaria_RDT_or_Microscopy_PF_OutP_Cases","PosMalaria_RDT_or_Microscopy_PV_OutP_Cases","Meningits_total_Cases","Meningitis_OutP_Cases","Meningitis_InP_Cases","Meningitis_InP_Deaths","Dysentery_total_Cases","Dysentery_OutP_Cases","Dysentery_InP_Cases","Dysentery_InP_Deaths","Typhoid_fever_Total_cases","Typhoid_fever_OutP_Cases","Typhoid_fever_InP_Cases","Typhoid_fever_InP_Deaths","Relapsing_fever_total_Cases","Relapsing_fever_OutP_Cases","Relapsing_fever_InP_Cases","Relapsing_fever_InP_Deaths","Epidemic_Typhus_Total_Cases","Epidemic_Typhus_OutP_Cases","Epidemic_Typhus_InP_Cases","Epidemic_Typhus_InP_Deaths","Malnutrition_total_Cases","Malnutrition_OutP_Cases","Malnutrition_InP_Cases","Malnutrition_InP_Deaths","AFP_Polio_Cases","AFP_Polio_Deaths","Anthrax_Cases","Anthrax_Deaths","Cholera_AWD_Cases","Cholera_AWD_Deaths","Dracunculiasis_Guinea_worm_Cases","Dracunculiasis_Guinea_worm_Deaths","Measles_Cases","Measles_Deaths","Neonatal_Tetanus_Cases","Neonatal_Tetanus_Deaths","Pandemic_Influenza_Cases","Pandemic_Influenza_Deaths","Rabies_Cases","Rabies_Deaths","SARS_Cases","SARS_Deaths","Small_pox_Cases","Small_pox_Deaths","Viral_hemorrhagic_fever_Cases","Viral_hemorrhagic_fever_Deaths","Yellow_fever_Cases","Yellow_fever_Deaths","Maternal_Death","Other_1_Cases","Other_1_Deaths","Other_2_Cases","Other_2_Deaths","Other_3_Cases","Other_3_Deaths","No_of_Gov_HPs_expected_by_RHB","No_of_Gov_HCs_expected_by_RHB","No_of_Gov_Hosps_expected_by_RHB","No_of_NGOHF_expected_by_RHB","No_of_OtherHFs_expected_by_RHB","No_of_Gov_HPs_Reported","No_of_Gov_HCs_Reported","All_Total_sites_Reported","All_Total_sites_Expected_by_RHB","Total_Gov_sites_Reported","RegionName","ZoneName"
442,"Bole Woreda15",2018,13,13,0,0,14,4,9,0,0,0,0,44,44,0,0,382,382,0,0,0,0,0,0,427,427,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,84,0,12,96,96,12,"Addis Ababa","Bole"
443,"Bolossa Bonibe",2017,259,258,1,0,3051,216,43,0,0,0,0,3,3,0,0,182,182,0,0,1,0,1,0,0,0,0,0,234,222,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,156,0,0,176,1145,158,1311,1476,1303,"SNNPR","Wolayita"
444,"Bolossa Bonibe",2018,112,111,1,0,3168,69,42,0,0,0,0,8,7,1,0,215,210,5,0,0,0,0,0,7,7,0,0,95,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,153,0,0,425,1122,153,1406,1700,1275,"SNNPR","Wolayita"
445,"Bolossa Sore",2017,558,558,0,0,8370,330,235,0,0,0,0,146,146,0,0,450,450,0,0,0,0,0,0,0,0,0,0,304,282,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,416,0,0,189,1694,410,2113,2321,2104,"SNNPR","Wolayita"
446,"Bolossa Sore",2018,244,244,0,0,6184,171,76,0,0,0,0,66,66,0,0,297,297,0,0,0,0,0,0,0,0,0,0,125,119,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,408,0,0,500,1639,405,2212,2632,2044,"SNNPR","Wolayita"
447,"Bombe HSP",2017,546,536,10,0,8386,348,188,0,0,0,0,13,13,0,0,891,876,15,0,1,0,1,0,0,0,0,0,101,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,51,51,"SNNPR","Wolayita"
448,"Bombe HSP",2018,607,604,3,0,10313,269,330,0,0,0,0,15,15,0,0,531,527,4,0,0,0,0,0,0,0,0,0,63,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,250,0,0,140,300,50,"SNNPR","Wolayita"
449,"Bona Hospital",2017,230,230,0,0,3122,89,71,54,1,53,0,22,22,0,0,846,846,0,0,0,0,0,0,356,356,0,0,94,11,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,49,49,"SNNPR","Sidama"
450,"Bona Hospital",2018,177,177,0,0,2970,119,70,20,0,20,0,24,24,0,0,694,694,0,0,0,0,0,0,4,4,0,0,117,51,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15,42,9,9,55,10,108,159,108,"SNNPR","Sidama"
451,"Bona Zuriya",2017,22,22,0,0,68,17,8,0,0,0,0,183,183,0,0,306,306,0,0,0,0,0,0,74,74,0,0,338,334,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,245,0,0,0,1322,245,1567,1617,1567,"SNNPR","Sidama"
452,"Bona Zuriya",2018,97,97,0,0,638,47,47,0,0,0,0,240,240,0,0,608,608,0,0,1,1,0,0,118,118,0,0,318,313,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,258,0,3,3,1314,245,1627,1641,1560,"SNNPR","Sidama"
453,"Boneya Bushe",2017,485,485,0,0,3036,289,196,0,0,0,0,68,68,0,0,306,306,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,572,156,0,0,0,544,152,696,728,696,"Oromia","East Wellega"
454,"Boneya Bushe",2018,146,146,0,0,2359,87,59,0,0,0,0,41,41,0,0,278,278,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,495,135,0,0,0,456,127,583,630,583,"Oromia","East Wellega"
455,"Bonga HSP",2017,141,133,8,0,6396,115,18,35,3,32,0,56,55,1,0,562,562,0,0,0,0,0,0,251,251,0,0,58,15,43,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,1,49,98,49,"SNNPR","Kefa"
456,"Bonga HSP",2018,515,500,15,0,7903,447,68,7,0,7,0,9,9,0,0,87,87,0,0,14,7,7,0,4,4,0,0,81,12,69,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,46,0,70,0,0,80,116,45,"SNNPR","Kefa"
457,"Bonga Town",2017,96,96,0,0,521,22,34,0,0,0,0,51,51,0,0,810,792,18,0,0,0,0,0,231,231,0,0,16,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,65,49,49,"SNNPR","Kefa"
458,"Bonga Town",2018,190,190,0,0,1134,85,93,0,0,0,0,1,1,0,0,1993,1993,0,0,1,0,1,0,305,305,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,168,0,49,119,217,49,"SNNPR","Kefa"
459,"Bonke",2017,3985,3984,1,0,7505,2728,1226,4,4,0,0,220,212,8,0,3070,3070,0,0,0,0,0,0,1908,1908,0,0,586,576,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,306,0,0,0,1745,306,2051,2244,2051,"SNNPR","Gamo Gofa"
460,"Bonke",2018,2715,2715,0,0,6519,1847,1001,0,0,0,0,129,129,0,0,2969,2969,0,0,0,0,0,0,1928,1928,0,0,387,381,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,288,0,0,0,1624,288,1912,1956,1912,"SNNPR","Gamo Gofa"
461,"Boqolmayo",2017,60,60,0,0,45,38,7,0,0,0,0,43,43,0,0,25,25,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,18,9,27,27,27,"Somali","Liben"
462,"Boqolmayo",2018,220,220,0,0,184,82,36,2,0,2,0,17,17,0,0,71,71,0,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,18,0,0,0,60,18,78,78,78,"Somali","Liben"
463,"Bora",2017,383,383,0,0,3544,291,92,0,0,0,0,281,229,52,0,2379,2379,0,0,0,0,0,0,2499,2499,0,0,220,193,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,900,157,4,50,51,908,152,1132,1162,1061,"Oromia","East Shewa"
464,"Bora",2018,218,218,0,0,3131,139,79,0,0,0,0,245,245,0,0,2278,2278,0,0,0,0,0,0,2627,2627,0,0,224,206,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,141,28,47,47,762,127,940,1109,889,"Oromia","East Shewa"
465,"Bore",2017,57,56,1,0,108,20,36,3,3,0,0,361,361,0,0,623,623,0,0,0,0,0,0,24,24,0,0,329,328,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1632,306,0,0,0,1499,305,1804,1938,1804,"Oromia","Guji"
466,"Bore",2018,18,18,0,0,60,4,13,0,0,0,0,242,242,0,0,41,41,0,0,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,308,0,0,0,1531,308,1839,1950,1839,"Oromia","Guji"
467,"Bore Hospital",2018,0,0,0,0,0,0,0,11,6,5,0,7,7,0,0,9,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,16,17,16,"Oromia","Guji"
468,"Boreda",2017,2155,2155,0,0,11188,1401,791,0,0,0,0,18,18,0,0,3425,3425,0,0,7,7,0,0,2722,2722,0,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,204,0,0,0,1423,204,1627,1632,1627,"SNNPR","Gamo Gofa"
469,"Boreda",2018,1145,1145,0,0,12721,645,450,0,0,0,0,0,0,0,0,4525,4525,0,0,0,0,0,0,4167,4167,0,0,63,62,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,192,0,0,0,1344,192,1536,1536,1536,"SNNPR","Gamo Gofa"
470,"Borena",2017,759,758,1,0,5186,353,400,2,1,1,0,882,882,0,0,1583,1582,1,0,5,5,0,0,914,914,0,0,301,276,25,1,3,0,0,0,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820,364,52,9,389,1820,364,2646,2634,2236,"Amhara","South Wollo"
471,"Borena",2018,605,605,0,0,3989,384,219,1,0,1,0,751,751,0,0,647,647,0,0,0,0,0,0,1670,1669,1,0,190,161,29,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1820,364,52,0,443,1817,364,2661,2679,2233,"Amhara","South Wollo"
472,"Boricha",2017,884,884,0,0,14480,628,319,0,0,0,0,1543,1543,0,0,4998,4998,0,0,3,3,0,0,1670,1670,0,0,643,568,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3493,774,0,18,26,3359,765,4202,4311,4125,"Oromia","Buno Bedele"
473,"Boricha",2018,572,572,0,0,10211,326,228,0,0,0,0,1138,1138,0,0,4672,4672,0,0,0,0,0,0,1445,1445,0,0,418,403,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3465,755,0,41,41,3419,741,4346,4302,4173,"Oromia","Buno Bedele"
474,"Boset",2017,3274,3274,0,0,22481,2099,1175,0,0,0,0,113,113,0,0,3260,3260,0,0,2,2,0,0,1576,1576,0,0,441,400,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1683,364,0,1,59,1617,347,2010,2107,1964,"Oromia","East Shewa"
475,"Boset",2018,1673,1673,0,0,19973,969,704,0,0,0,0,94,94,0,0,3152,3152,0,0,4,4,0,0,1635,1635,0,0,401,391,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1650,350,0,0,50,1616,347,2012,2050,1963,"Oromia","East Shewa"
476,"Bugna",2017,363,363,0,0,943,174,189,0,0,0,0,430,430,0,0,79,79,0,0,1,1,0,0,49,49,0,0,503,495,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,676,208,0,0,0,670,208,878,884,878,"Amhara","North Wollo"
477,"Bugna",2018,360,360,0,0,919,212,148,2,2,0,0,453,453,0,0,165,165,0,0,0,0,0,0,76,76,0,0,448,430,18,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,751,208,0,0,0,723,208,931,959,931,"Amhara","North Wollo"
478,"Bule",2017,14,14,0,0,26,6,7,0,0,0,0,88,84,4,0,1500,1500,0,0,0,0,0,0,26,26,0,0,388,353,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,250,0,0,0,1415,249,1666,1700,1664,"SNNPR","Gedeo"
479,"Bule",2018,7,7,0,0,8,1,6,0,0,0,0,98,98,0,0,1843,1843,0,0,0,0,0,0,0,0,0,0,828,710,118,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1305,225,0,0,0,1250,213,1468,1530,1463,"SNNPR","Gedeo"
480,"Bule Hora",2017,275,275,0,0,1814,193,81,0,0,0,0,158,158,0,0,155,154,1,0,1,1,0,0,33,33,0,0,577,564,13,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1319,225,0,0,0,1103,182,1291,1544,1285,"Oromia","west Guji"
481,"Bule Hora",2018,110,110,0,0,2151,81,29,0,0,0,0,194,194,0,0,225,225,0,0,1,1,0,0,9,9,0,0,738,703,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1518,230,0,0,2,1062,164,1226,1750,1226,"Oromia","west Guji"
482,"Bule Hora hospital",2017,5,3,2,0,53,2,0,5,0,5,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,"Oromia","west Guji"
483,"Bule Hora hospital",2018,9,6,3,0,78,1,0,9,0,9,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,12,4,"Oromia","west Guji"
484,"Bule Hora Toun",2017,75,75,0,0,995,24,10,0,0,0,0,55,55,0,0,293,293,0,0,0,0,0,0,0,0,0,0,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,288,0,41,186,336,41,"Oromia","west Guji"
485,"Bule Hora Toun",2018,54,54,0,0,414,20,32,0,0,0,0,175,170,5,0,354,354,0,0,17,17,0,0,2,2,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,265,0,43,175,309,43,"Oromia","west Guji"
486,"Bulen",2017,8566,8533,30,0,21523,7412,964,0,0,0,0,576,576,0,0,1646,1646,0,0,0,0,0,0,142,142,0,0,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,128,0,0,24,762,125,899,1014,887,"Benishangul-Gumuz","Metekel"
487,"Bulen",2018,9126,9114,12,1,24090,8588,441,3,1,2,0,958,956,2,0,2342,2342,0,0,0,0,0,0,193,193,0,0,21,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,177,23,0,49,758,180,977,1057,955,"Benishangul-Gumuz","Metekel"
488,"Bullen P/Hospital",2018,80,79,1,0,146,64,15,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,"Benishangul-Gumuz","Metekel"
489,"Burayu Town",2017,127,95,32,0,218,31,60,0,0,0,0,1924,1924,0,0,11275,11275,0,0,22,22,0,1,5894,5894,0,0,18,18,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,1592,102,102,1689,1800,204,"Oromia","Burayu Town"
490,"Burayu Town",2018,86,86,0,0,92,22,28,1,1,0,0,1680,1680,0,0,8995,8995,0,0,2,2,0,0,6866,6866,0,0,25,25,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,100,0,0,1541,99,96,940,1741,195,"Oromia","Burayu Town"
491,"Bure",2017,235,235,0,0,1300,157,78,0,0,0,0,42,42,0,0,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,153,0,0,0,961,153,1114,1224,1114,"Oromia","Ilu Aba Bora"
492,"Bure",2018,220,220,0,0,1076,154,65,0,0,0,0,71,71,0,0,349,349,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,141,0,0,0,932,141,1073,1127,1073,"Oromia","Ilu Aba Bora"
493,"Bure Town",2017,379,378,1,0,13153,196,183,0,0,0,0,81,81,0,0,430,430,0,0,7,7,0,0,121,121,0,0,0,0,0,0,2,0,0,0,89,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,52,52,0,156,208,52,468,468,312,"Amhara","West Gojjam"
494,"Bure Town",2018,317,316,1,0,12490,188,129,0,0,0,0,101,101,0,0,513,513,0,0,0,0,0,0,143,143,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,208,52,52,0,156,208,52,468,468,312,"Amhara","West Gojjam"
495,"Bure Zuria",2017,904,903,1,0,8169,580,324,0,0,0,0,307,307,0,0,28,27,1,0,0,0,0,0,0,0,0,0,19,19,0,0,2,0,0,0,211,1,0,0,4,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,988,260,0,0,0,988,260,1248,1248,1248,"Amhara","West Gojjam"
496,"Bure Zuria",2018,525,524,1,0,5750,396,129,0,0,0,0,297,297,0,0,58,58,0,0,0,0,0,0,1,1,0,0,18,18,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,988,260,0,0,0,988,260,1248,1248,1248,"Amhara","West Gojjam"
497,"Burgi",2017,1977,1975,2,0,7347,1429,526,0,0,0,0,183,183,0,0,3088,3088,0,0,0,0,0,0,248,248,0,0,200,183,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,215,0,0,0,881,195,1076,1247,1076,"SNNPR","Segen"
498,"Burgi",2018,1565,1565,0,0,7220,1129,404,0,0,0,0,171,171,0,0,2682,2682,0,0,0,0,0,0,268,268,0,0,164,133,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,225,0,0,0,937,205,1142,1305,1142,"SNNPR","Segen"
499,"Burka Dimtu",2017,27,27,0,0,364,27,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,345,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,156,0,0,0,1008,156,1164,1352,1164,"Oromia","West Hararge"
500,"Burka Dimtu",2018,250,250,0,0,1119,249,4,0,0,0,0,17,17,0,0,2,2,0,0,0,0,0,0,0,0,0,0,695,630,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,156,0,0,0,990,154,1144,1352,1144,"Oromia","West Hararge"
501,"Bursa",2017,6,6,0,0,9,4,2,0,0,0,0,129,129,0,0,413,413,0,0,0,0,0,0,18,18,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,245,0,0,0,1372,245,1617,1617,1617,"SNNPR","Sidama"
502,"Bursa",2018,1,1,0,0,8,0,1,0,0,0,0,93,93,0,0,295,295,0,0,0,0,0,0,3,3,0,0,234,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,237,0,3,3,1320,238,1626,1551,1558,"SNNPR","Sidama"
503,"Butajira Hospital",2017,43,43,0,0,2532,10,30,0,0,0,0,29,29,0,0,724,724,0,0,0,0,0,0,1071,1071,0,0,147,9,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,48,48,48,"SNNPR","Gurage"
504,"Butajira Hospital",2018,33,33,0,0,1595,1,2,0,0,0,0,17,17,0,0,995,995,0,0,0,0,0,0,1421,1421,0,0,159,8,151,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48,0,0,0,0,48,48,48,"SNNPR","Gurage"
505,"Butajira Town",2017,52,52,0,0,3549,12,42,0,0,0,0,475,475,0,0,3679,3679,0,0,0,0,0,0,716,716,0,0,180,167,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,51,0,0,0,0,51,51,51,51,"SNNPR","Gurage"
506,"Butajira Town",2018,21,21,0,0,3024,1,19,0,0,0,0,337,337,0,0,2430,2430,0,0,0,0,0,0,1464,1464,0,0,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,47,47,47,47,"SNNPR","Gurage"
507,"Cayuun",2017,3,3,0,0,3,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,"Somali","Fik"
508,"Cayuun",2018,75,75,0,0,66,27,2,0,0,0,0,14,14,0,0,36,36,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,6,16,22,22,22,"Somali","Fik"
509,"Chagni",2017,2270,2230,40,0,35525,1520,750,2,0,2,0,54,54,0,0,3143,3141,2,0,0,0,0,0,2851,2851,0,0,38,25,13,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,51,51,0,204,51,51,357,357,153,"Amhara","Awi"
510,"Chagni",2018,1711,1652,59,0,32128,1272,436,0,0,0,0,101,101,0,0,4633,4631,2,0,0,0,0,0,3596,3596,0,0,45,44,1,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,52,52,52,0,233,52,52,388,389,156,"Amhara","Awi"
511,"Cheha",2017,728,726,2,0,12458,50,677,0,0,0,0,221,221,0,0,2149,2143,6,0,0,0,0,0,4,4,0,0,10,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,357,0,90,0,1979,283,2342,2436,2262,"SNNPR","Gurage"
512,"Cheha",2018,101,101,0,0,7643,6,99,0,0,0,0,120,120,0,0,2043,2043,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,260,0,94,0,1817,250,2149,2226,2071,"SNNPR","Gurage"
513,"Chelenko Hospital",2017,92,87,5,0,616,72,15,0,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,52,52,52,"Oromia","East Hararge"
514,"Chelenko Hospital",2018,121,121,0,0,614,108,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,41,42,41,"Oromia","East Hararge"
