"d3mIndex","WoredaName","Year","Total_Malaria_Confirmed_and_Clinical","TMalaria_OutP_Cases","TMalaria_InP_Cases","TMalaria_InP_Deaths","TMSuspected_Fever_Examined","PosMalaria_RDT_or_Microscopy_PF_OutP_Cases","PosMalaria_RDT_or_Microscopy_PV_OutP_Cases","Meningits_total_Cases","Meningitis_OutP_Cases","Meningitis_InP_Cases","Meningitis_InP_Deaths","Dysentery_total_Cases","Dysentery_OutP_Cases","Dysentery_InP_Cases","Dysentery_InP_Deaths","Typhoid_fever_Total_cases","Typhoid_fever_OutP_Cases","Typhoid_fever_InP_Cases","Typhoid_fever_InP_Deaths","Relapsing_fever_total_Cases","Relapsing_fever_OutP_Cases","Relapsing_fever_InP_Cases","Relapsing_fever_InP_Deaths","Epidemic_Typhus_Total_Cases","Epidemic_Typhus_OutP_Cases","Epidemic_Typhus_InP_Cases","Epidemic_Typhus_InP_Deaths","Malnutrition_total_Cases","Malnutrition_OutP_Cases","Malnutrition_InP_Cases","Malnutrition_InP_Deaths","AFP_Polio_Cases","AFP_Polio_Deaths","Anthrax_Cases","Anthrax_Deaths","Cholera_AWD_Cases","Cholera_AWD_Deaths","Dracunculiasis_Guinea_worm_Cases","Dracunculiasis_Guinea_worm_Deaths","Measles_Cases","Measles_Deaths","Neonatal_Tetanus_Cases","Neonatal_Tetanus_Deaths","Pandemic_Influenza_Cases","Pandemic_Influenza_Deaths","Rabies_Cases","Rabies_Deaths","SARS_Cases","SARS_Deaths","Small_pox_Cases","Small_pox_Deaths","Viral_hemorrhagic_fever_Cases","Viral_hemorrhagic_fever_Deaths","Yellow_fever_Cases","Yellow_fever_Deaths","Maternal_Death","Other_1_Cases","Other_1_Deaths","Other_2_Cases","Other_2_Deaths","Other_3_Cases","Other_3_Deaths","No_of_Gov_HPs_expected_by_RHB","No_of_Gov_HCs_expected_by_RHB","No_of_Gov_Hosps_expected_by_RHB","No_of_NGOHF_expected_by_RHB","No_of_OtherHFs_expected_by_RHB","No_of_Gov_HPs_Reported","No_of_Gov_HCs_Reported","All_Total_sites_Reported","All_Total_sites_Expected_by_RHB","Total_Gov_sites_Reported","RegionName","ZoneName"
100,"Akaki Kaliti Woreda01",2018,99,99,0,0,1160,25,75,0,0,0,0,196,196,0,0,3386,3386,0,0,0,0,0,0,3170,3170,0,0,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,656,0,50,675,758,50,"Addis Ababa","Akaki Kaliti"
101,"Akaki Kaliti Woreda02",2017,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,4,16,16,4,"Addis Ababa","Akaki Kaliti"
102,"Akaki Kaliti Woreda02",2018,23,23,0,0,267,7,16,0,0,0,0,39,39,0,0,1564,1564,0,0,0,0,0,0,1513,1513,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,153,0,51,202,204,51,"Addis Ababa","Akaki Kaliti"
103,"Akaki Kaliti Woreda03",2017,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,113,113,0,0,0,0,0,0,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,4,16,16,4,"Addis Ababa","Akaki Kaliti"
104,"Akaki Kaliti Woreda03",2018,8,8,0,0,20,3,5,0,0,0,0,272,272,0,0,1144,1144,0,0,2,2,0,0,1829,1829,0,0,39,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,153,0,50,203,204,50,"Addis Ababa","Akaki Kaliti"
105,"Akaki Kaliti Woreda04",2017,14,14,0,0,40,2,12,0,0,0,0,1,1,0,0,403,403,0,0,0,0,0,0,288,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,56,0,4,54,64,4,"Addis Ababa","Akaki Kaliti"
106,"Akaki Kaliti Woreda04",2018,225,225,0,0,554,40,191,0,0,0,0,76,76,0,0,4940,4940,0,0,6,6,0,0,4332,4332,0,0,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,51,714,0,48,774,816,48,"Addis Ababa","Akaki Kaliti"
107,"Akaki Kaliti Woreda05",2017,4,4,0,0,23,2,2,0,0,0,0,15,15,0,0,37,37,0,0,0,0,0,0,24,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,48,48,0,"Addis Ababa","Akaki Kaliti"
108,"Akaki Kaliti Woreda05",2018,42,42,0,0,162,17,26,0,0,0,0,302,302,0,0,915,915,0,0,1,1,0,0,710,710,0,0,16,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,561,0,0,597,612,0,"Addis Ababa","Akaki Kaliti"
109,"Akaki Kaliti woreda06",2017,5,5,0,0,35,0,5,0,0,0,0,0,0,0,0,171,171,0,0,6,6,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,48,0,4,52,52,4,"Addis Ababa","Akaki Kaliti"
110,"Akaki Kaliti woreda06",2018,43,43,0,0,183,16,27,1,1,0,0,70,70,0,0,2634,2634,0,0,38,38,0,0,2475,2475,0,0,38,38,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,656,0,51,681,707,51,"Addis Ababa","Akaki Kaliti"
111,"Akaki Kaliti Woreda07",2017,6,6,0,0,20,1,5,0,0,0,0,9,9,0,0,293,293,0,0,0,0,0,0,280,280,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,44,0,4,48,48,4,"Addis Ababa","Akaki Kaliti"
112,"Akaki Kaliti Woreda07",2018,60,60,0,0,164,7,54,0,0,0,0,145,145,0,0,3104,3104,0,0,0,0,0,0,3109,3109,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,561,0,51,605,612,51,"Addis Ababa","Akaki Kaliti"
113,"Akaki Kaliti Woreda08",2017,6,6,0,0,110,2,4,0,0,0,0,3,3,0,0,239,239,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,56,0,2,50,60,2,"Addis Ababa","Akaki Kaliti"
114,"Akaki Kaliti Woreda08",2018,66,66,0,0,1351,30,36,0,0,0,0,129,129,0,0,3849,3849,0,0,0,0,0,0,3223,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,714,0,51,621,765,51,"Addis Ababa","Akaki Kaliti"
115,"Akaki Kaliti Woreda09",2017,4,4,0,0,43,4,0,0,0,0,0,9,9,0,0,39,39,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,16,16,8,"Addis Ababa","Akaki Kaliti"
116,"Akaki Kaliti Woreda09",2018,19,19,0,0,509,3,16,0,0,0,0,241,241,0,0,701,701,0,0,0,0,0,0,837,837,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,102,0,102,204,204,102,"Addis Ababa","Akaki Kaliti"
117,"Akaki kaliti Woreda10",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,"Addis Ababa","Akaki Kaliti"
118,"Akaki kaliti Woreda10",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,102,0,"Addis Ababa","Akaki Kaliti"
119,"Akaki Kaliti Woreda11",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Addis Ababa","Akaki Kaliti"
120,"Akaki Kaliti Woreda11",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Addis Ababa","Akaki Kaliti"
121,"Akisum Town",2017,508,475,33,0,5595,300,206,5,4,1,0,263,263,0,0,19,15,4,0,0,0,0,0,0,0,0,0,118,59,59,0,5,0,3,0,12,0,0,0,11,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102,89,0,0,0,102,192,191,192,"Tigray","Central Tigray"
122,"Akisum Town",2018,560,532,28,0,6567,338,213,3,3,0,0,388,388,0,0,90,87,3,0,5,5,0,0,0,0,0,0,152,50,102,1,2,0,1,0,16,0,0,0,9,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,104,104,0,0,0,104,208,208,208,"Tigray","Central Tigray"
123,"Alaje",2017,309,309,0,0,1630,152,157,0,0,0,0,577,577,0,0,287,287,0,0,0,0,0,0,4,4,0,0,102,102,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,260,0,0,0,1092,260,1352,1352,1352,"Tigray","South Tigray"
124,"Alaje",2018,244,244,0,0,1642,115,118,0,0,0,0,530,530,0,0,133,133,0,0,0,0,0,0,9,9,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,260,0,0,0,1092,260,1352,1352,1352,"Tigray","South Tigray"
125,"Alamata",2017,5117,5117,0,0,12730,3927,1194,0,0,0,0,498,498,0,0,100,100,0,0,1,1,0,0,4,4,0,0,132,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,255,0,0,0,765,255,1020,1020,1020,"Tigray","South Tigray"
126,"Alamata",2018,5214,5214,0,0,12995,3538,1669,0,0,0,0,399,399,0,0,239,239,0,0,0,0,0,0,90,90,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,260,0,0,0,780,260,1040,1040,1040,"Tigray","South Tigray"
