d3mIndex,pmid,py,py2,py3,minpol,rbal,lnkmdist,mido
0,0,0,0,0.0,-3.0,0.546182210630452,6.89871453432999,1
1,1,0,0,0.0,-3.0,0.8357258294514692,6.89871453432999,1
2,1,0,0,0.0,-3.0,0.5944495352794871,6.89871453432999,0
3,1,1,1,1.0,-3.0,0.53578008696293,6.89871453432999,0
4,1,2,4,8.0,-5.0,0.666950193743503,6.89871453432999,0
5,1,3,9,27.0,-5.0,0.710426703372333,6.89871453432999,0
6,1,4,16,64.0,-5.0,0.614019047619048,6.89871453432999,0
7,1,5,25,125.0,-5.0,0.6166911140276379,6.89871453432999,0
8,1,6,36,216.0,-5.0,0.6619627449399239,6.89871453432999,0
9,1,7,49,343.0,-6.0,0.619451645848064,6.89871453432999,0
10,1,8,64,512.0,-6.0,0.626313611915598,6.89871453432999,0
11,1,9,81,729.0,-6.0,0.627797135114208,6.89871453432999,0
12,1,10,100,1000.0,-6.0,0.6640373197625109,6.89871453432999,0
13,1,11,121,1331.0,-6.0,0.607986111111111,6.89871453432999,0
14,1,12,144,1728.0,-6.0,0.4317116060961311,6.89871453432999,0
15,1,13,169,2197.0,-6.0,0.424071237073918,6.89871453432999,0
16,1,14,196,2744.0,-6.0,0.349450725683586,6.89871453432999,0
17,1,15,225,3375.0,-6.0,0.349691797060218,6.89871453432999,0
18,1,16,256,4096.0,-6.0,0.445617021276596,6.89871453432999,0
19,1,17,289,4913.0,-6.0,0.4722693146040201,6.89871453432999,0
20,1,18,324,5832.0,-9.0,0.474595021730541,6.89871453432999,0
21,1,19,361,6859.0,-9.0,0.5962196639701309,6.89871453432999,0
22,1,20,400,8000.0,-9.0,0.6091035980148879,6.89871453432999,0
23,1,21,441,9261.0,-9.0,0.603669064748201,6.89871453432999,0
24,1,22,484,10648.0,-9.0,0.600154191197084,6.89871453432999,0
25,1,23,529,12167.0,-9.0,0.570823835884077,6.89871453432999,0
26,1,24,576,13824.0,-9.0,0.5203498542274051,6.89871453432999,0
27,1,25,625,15625.0,-9.0,0.5208286923591,6.89871453432999,0
28,1,26,676,17576.0,-9.0,0.532472570098637,6.89871453432999,0
29,1,27,729,19683.0,-9.0,0.589931101172489,6.89871453432999,0
30,1,28,784,21952.0,-9.0,0.554524226503211,6.89871453432999,0
31,1,29,841,24389.0,-9.0,0.5737425404944589,6.89871453432999,0
32,1,30,900,27000.0,-9.0,0.514483354950281,6.89871453432999,0
33,1,31,961,29791.0,-9.0,0.514350819354213,6.89871453432999,0
34,1,32,1024,32768.0,-9.0,0.495005549389567,6.89871453432999,0
35,1,33,1089,35937.0,-10.0,0.48649696969697,6.89871453432999,0
36,1,34,1156,39304.0,-6.0,0.476830310511822,6.89871453432999,0
37,1,35,1225,42875.0,-5.0,0.4243544098427151,6.89871453432999,0
38,1,36,1296,46656.0,-5.0,0.40268456375838896,6.89871453432999,0
39,1,37,1369,50653.0,-5.0,0.433824144566218,6.89871453432999,0
40,1,38,1444,54872.0,-5.0,0.368367024636766,6.89871453432999,0
41,1,39,1521,59319.0,-3.0,0.313432835820896,6.89871453432999,0
42,1,40,1600,64000.0,-3.0,0.42177657796632,6.89871453432999,0
43,1,41,1681,68921.0,-3.0,0.504511790244318,6.89871453432999,0
44,1,42,1764,74088.0,-3.0,0.467316906228611,6.89871453432999,0
45,1,43,1849,79507.0,-3.0,0.422138579982891,6.89871453432999,0
46,1,44,1936,85184.0,-3.0,0.516399954602202,6.89871453432999,0
47,1,45,2025,91125.0,-3.0,0.5114916286149159,6.89871453432999,0
48,1,46,2116,97336.0,-5.0,0.7755730547325741,6.89871453432999,0
49,1,47,2209,103823.0,-5.0,0.644911178722151,6.89871453432999,0
50,1,48,2304,110592.0,-5.0,0.577206694043361,6.89871453432999,0
51,1,49,2401,117649.0,-5.0,0.5464910220552129,6.89871453432999,0
52,1,50,2500,125000.0,-5.0,0.556980232605926,6.89871453432999,0
53,1,51,2601,132651.0,-5.0,0.5505564292966489,6.89871453432999,0
54,1,52,2704,140608.0,-5.0,0.550925206033276,6.89871453432999,0
55,1,53,2809,148877.0,-5.0,0.5441557967042999,6.89871453432999,0
56,1,54,2916,157464.0,-5.0,0.5081975308641971,6.89871453432999,0
57,1,55,3025,166375.0,-3.0,0.524175750685481,6.89871453432999,0
58,1,56,3136,175616.0,6.0,0.525893099972803,6.89871453432999,0
59,1,57,3249,185193.0,6.0,0.5327461607949411,6.89871453432999,0
60,1,58,3364,195112.0,6.0,0.591235390985979,6.89871453432999,0
61,1,59,3481,205379.0,6.0,0.5743653612559,6.89871453432999,0
62,1,60,3600,216000.0,6.0,0.555761714294405,6.89871453432999,0
63,1,61,3721,226981.0,6.0,0.5624245203699461,6.89871453432999,0
64,1,62,3844,238328.0,6.0,0.5589229600726761,6.89871453432999,0
65,1,63,3969,250047.0,6.0,0.596851624427822,6.89871453432999,0
66,1,64,4096,262144.0,6.0,0.607732786442187,6.89871453432999,0
67,1,65,4225,274625.0,6.0,0.6418195907734411,6.89871453432999,0
68,1,66,4356,287496.0,7.0,0.6842587629044251,6.89871453432999,0
69,1,67,4489,300763.0,7.0,0.6730358723382099,6.89871453432999,0
70,1,68,4624,314432.0,7.0,0.68832895888014,6.89871453432999,0
71,1,69,4761,328509.0,7.0,0.7058954849031679,6.89871453432999,0
72,1,70,4900,343000.0,7.0,0.670766132657281,6.89871453432999,0
73,1,71,5041,357911.0,7.0,0.670558829432048,6.89871453432999,0
74,1,72,5184,373248.0,8.0,0.759027949542419,6.89871453432999,0
