d3mIndex,administrative_area_level_1,administrative_area_level_2,parseDate,uniloc.x,precipitation,year,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,ISOALPHA,COUNTRYNM,un_wpp_pop_est_li,un_wpp_pop_dens_li,uniloc.y,Maize(white)-Retail_li,Wheat-Wholesale_li
1952,Benishangul-Gumuz,Metekel,2013-04,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,59833.4,109.41925149999999,,,
1953,Benishangul-Gumuz,Metekel,2013-05,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,188.91126654285702,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,363838.0,14.425451999999998,,,
1954,Benishangul-Gumuz,Metekel,2013-05,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,59969.6666666667,109.66844666666701,,,
1955,Benishangul-Gumuz,Metekel,2013-06,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,187.489315085714,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,364664.75,14.458231,,,
1956,Benishangul-Gumuz,Metekel,2013-06,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60105.9333333333,109.917641833333,,,
1957,Benishangul-Gumuz,Metekel,2013-07,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,335.95028192857103,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,365491.5,14.491010000000001,,,
1958,Benishangul-Gumuz,Metekel,2013-07,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60242.2,110.16683700000002,,,
1959,Benishangul-Gumuz,Metekel,2013-08,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,280.337530042857,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,366318.25,14.523789,,,
1960,Benishangul-Gumuz,Metekel,2013-08,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60378.466666666696,110.41603216666701,,,
1961,Benishangul-Gumuz,Metekel,2013-09,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,214.5671746,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,367145.0,14.556567999999999,,,
1962,Benishangul-Gumuz,Metekel,2013-09,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60514.7333333333,110.665227333333,,,
1963,Benishangul-Gumuz,Metekel,2013-10,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,139.10822129,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,367971.75,14.589347,,,
1964,Benishangul-Gumuz,Metekel,2013-10,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60651.0,110.91442250000001,,,
1965,Benishangul-Gumuz,Metekel,2013-11,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,22.903097819285698,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,368798.5,14.622126000000002,,,
1966,Benishangul-Gumuz,Metekel,2013-11,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60787.2666666667,111.16361766666701,,,
1967,Benishangul-Gumuz,Metekel,2013-12,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,0.45300479642857105,2013.0,25243.12,21.17243,25221.95,ETH,Ethiopia,369625.25,14.654905,,,
1968,Benishangul-Gumuz,Metekel,2013-12,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2013.0,546.827,0.0,546.827,ETH,Ethiopia,60923.533333333304,111.41281283333299,,,
1969,Benishangul-Gumuz,Metekel,2014-01,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,0.525434576285714,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,370452.0,14.687683999999999,,,
1970,Benishangul-Gumuz,Metekel,2014-01,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61059.8,111.66200800000001,,,
1971,Benishangul-Gumuz,Metekel,2014-02,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,2.25279316314286,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,371278.75,14.720463,,,
1972,Benishangul-Gumuz,Metekel,2014-02,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61196.0666666667,111.91120316666701,,,
1973,Benishangul-Gumuz,Metekel,2014-03,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,51.62167456857139,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,372105.5,14.753242000000002,,,
1974,Benishangul-Gumuz,Metekel,2014-03,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61332.3333333333,112.16039833333299,,,
1975,Benishangul-Gumuz,Metekel,2014-04,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,83.85340381,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,372932.25,14.786021,,,
1976,Benishangul-Gumuz,Metekel,2014-04,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61468.6,112.4095935,,,
1977,Benishangul-Gumuz,Metekel,2014-05,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,241.413167285714,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,373759.0,14.8188,,,
1978,Benishangul-Gumuz,Metekel,2014-05,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61604.8666666667,112.65878866666701,,,
1979,Benishangul-Gumuz,Metekel,2014-06,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,238.93673037142898,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,374585.75,14.851579000000001,,,
1980,Benishangul-Gumuz,Metekel,2014-06,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61741.1333333333,112.90798383333299,,,
1981,Benishangul-Gumuz,Metekel,2014-07,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,294.231800285714,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,375412.5,14.884357999999999,,,
1982,Benishangul-Gumuz,Metekel,2014-07,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,61877.4,113.157179,,,
1983,Benishangul-Gumuz,Metekel,2014-08,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,305.86215530000004,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,376239.25,14.917137,,,
1984,Benishangul-Gumuz,Metekel,2014-08,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,62013.6666666667,113.406374166667,,,
1985,Benishangul-Gumuz,Metekel,2014-09,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,272.719155185714,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,377066.0,14.949916,,,
1986,Benishangul-Gumuz,Metekel,2014-09,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,62149.9333333333,113.65556933333299,,,
1987,Benishangul-Gumuz,Metekel,2014-10,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,188.13170435714298,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,377892.75,14.982695000000001,,,
1988,Benishangul-Gumuz,Metekel,2014-10,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,62286.2,113.9047645,,,
1989,Benishangul-Gumuz,Metekel,2014-11,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,15.001833574857098,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,378719.5,15.015474,,,
1990,Benishangul-Gumuz,Metekel,2014-11,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,62422.466666666696,114.153959666667,,,
1991,Benishangul-Gumuz,Metekel,2014-12,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,5.352809306285709,2014.0,25243.12,21.17243,25221.95,ETH,Ethiopia,379546.25,15.048253,,,
1992,Benishangul-Gumuz,Metekel,2014-12,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2014.0,546.827,0.0,546.827,ETH,Ethiopia,62558.7333333333,114.40315483333299,,,
1993,Benishangul-Gumuz,Metekel,2015-01,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,0.311321599285714,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,380373.0,15.081032,,,
1994,Benishangul-Gumuz,Metekel,2015-01,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,62695.0,114.65235,,,
1995,Benishangul-Gumuz,Metekel,2015-02,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,2.79463378971429,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,381265.7,15.116425766666698,,,
1996,Benishangul-Gumuz,Metekel,2015-02,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,62842.1333333333,114.921417333333,,,
1997,Benishangul-Gumuz,Metekel,2015-03,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,23.0185604985714,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,382158.4,15.1518195333333,,,
1998,Benishangul-Gumuz,Metekel,2015-03,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,62989.2666666667,115.190484666667,,,
1999,Benishangul-Gumuz,Metekel,2015-04,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,18.0395645602857,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,383051.1,15.1872133,,,
2000,Benishangul-Gumuz,Metekel,2015-04,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63136.4,115.459552,,,
2001,Benishangul-Gumuz,Metekel,2015-05,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,171.794098342857,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,383943.8,15.222607066666699,,,
2002,Benishangul-Gumuz,Metekel,2015-05,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63283.533333333304,115.728619333333,,,
2003,Benishangul-Gumuz,Metekel,2015-06,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,194.16252114285703,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,384836.5,15.258000833333302,,,
2004,Benishangul-Gumuz,Metekel,2015-06,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63430.6666666667,115.99768666666701,,,
2005,Benishangul-Gumuz,Metekel,2015-07,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,226.09645189999998,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,385729.2,15.2933946,,,
2006,Benishangul-Gumuz,Metekel,2015-07,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63577.8,116.266754,,,
2007,Benishangul-Gumuz,Metekel,2015-08,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,267.283389442857,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,386621.9,15.328788366666698,,,
2008,Benishangul-Gumuz,Metekel,2015-08,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63724.9333333333,116.53582133333299,,,
2009,Benishangul-Gumuz,Metekel,2015-09,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,259.368076457143,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,387514.6,15.364182133333301,,,
2010,Benishangul-Gumuz,Metekel,2015-09,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,63872.0666666667,116.804888666667,,,
2011,Benishangul-Gumuz,Metekel,2015-10,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,112.279574442857,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,388407.3,15.399575899999999,,,
2012,Benishangul-Gumuz,Metekel,2015-10,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,64019.2,117.07395600000001,,,
2013,Benishangul-Gumuz,Metekel,2015-11,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,17.5876559247143,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,389300.0,15.4349696666667,,,
2014,Benishangul-Gumuz,Metekel,2015-11,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,64166.3333333333,117.343023333333,,,
2015,Benishangul-Gumuz,Metekel,2015-12,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,8.789402397428569,2015.0,25243.12,21.17243,25221.95,ETH,Ethiopia,390192.7,15.4703634333333,,,
2016,Benishangul-Gumuz,Metekel,2015-12,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2015.0,546.827,0.0,546.827,ETH,Ethiopia,64313.466666666696,117.612090666667,,,
2017,Benishangul-Gumuz,Metekel,2016-01,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,1.4793173648571398,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,391085.4,15.505757199999998,,,
2018,Benishangul-Gumuz,Metekel,2016-01,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,64460.6,117.88115800000001,,,
2019,Benishangul-Gumuz,Metekel,2016-02,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,1.02662432014286,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,391978.1,15.541150966666699,,,
2020,Benishangul-Gumuz,Metekel,2016-02,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,64607.7333333333,118.150225333333,,,
2021,Benishangul-Gumuz,Metekel,2016-03,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,21.050131567,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,392870.8,15.576544733333302,,,
2022,Benishangul-Gumuz,Metekel,2016-03,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,64754.8666666667,118.419292666667,,,
2023,Benishangul-Gumuz,Metekel,2016-04,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,18.0386880971429,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,393763.5,15.6119385,,,
2024,Benishangul-Gumuz,Metekel,2016-04,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,64902.0,118.68836,,,
2025,Benishangul-Gumuz,Metekel,2016-05,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,219.45522595714297,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,394656.2,15.647332266666698,,,
2026,Benishangul-Gumuz,Metekel,2016-05,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65049.1333333333,118.957427333333,,,
2027,Benishangul-Gumuz,Metekel,2016-06,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,243.402813085714,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,395548.9,15.682726033333301,,,
2028,Benishangul-Gumuz,Metekel,2016-06,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65196.2666666667,119.22649466666701,,,
2029,Benishangul-Gumuz,Metekel,2016-07,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,324.06388614285703,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,396441.6,15.7181198,,,
2030,Benishangul-Gumuz,Metekel,2016-07,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65343.4,119.495562,,,
2031,Benishangul-Gumuz,Metekel,2016-08,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,270.237131314286,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,397334.3,15.7535135666667,,,
2032,Benishangul-Gumuz,Metekel,2016-08,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65490.533333333304,119.76462933333299,,,
2033,Benishangul-Gumuz,Metekel,2016-09,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,234.78859694285703,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,398227.0,15.788907333333302,,,
2034,Benishangul-Gumuz,Metekel,2016-09,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65637.6666666667,120.033696666667,,,
2035,Benishangul-Gumuz,Metekel,2016-10,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,148.271209157143,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,399119.7,15.8243011,,,
2036,Benishangul-Gumuz,Metekel,2016-10,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65784.8,120.302764,,,
2037,Benishangul-Gumuz,Metekel,2016-11,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,13.0188852345714,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,400012.4,15.859694866666699,,,
2038,Benishangul-Gumuz,Metekel,2016-11,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,65931.9333333333,120.571831333333,,,
2039,Benishangul-Gumuz,Metekel,2016-12,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,0.9746499087142859,2016.0,25243.12,21.17243,25221.95,ETH,Ethiopia,400905.1,15.895088633333302,,,
2040,Benishangul-Gumuz,Metekel,2016-12,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2016.0,546.827,0.0,546.827,ETH,Ethiopia,66079.0666666667,120.840898666667,,,
2041,Benishangul-Gumuz,Metekel,2017-01,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,0.9010040292857142,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,401797.8,15.930482399999999,,,
2042,Benishangul-Gumuz,Metekel,2017-01,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66226.2,121.10996599999999,,,
2043,Benishangul-Gumuz,Metekel,2017-02,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,16.783014837428603,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,402690.5,15.965876166666698,,,
2044,Benishangul-Gumuz,Metekel,2017-02,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66373.3333333333,121.379033333333,,,
2045,Benishangul-Gumuz,Metekel,2017-03,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,18.739751831857102,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,403583.2,16.0012699333333,,,
2046,Benishangul-Gumuz,Metekel,2017-03,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66520.4666666667,121.648100666667,,,
2047,Benishangul-Gumuz,Metekel,2017-04,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,65.24134302285711,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,404475.9,16.0366637,,,
2048,Benishangul-Gumuz,Metekel,2017-04,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66667.6,121.91716799999999,,,
2049,Benishangul-Gumuz,Metekel,2017-05,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,205.380881085714,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,405368.6,16.0720574666667,,,
2050,Benishangul-Gumuz,Metekel,2017-05,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66814.7333333333,122.186235333333,,,
2051,Benishangul-Gumuz,Metekel,2017-06,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,193.776373171429,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,406261.3,16.1074512333333,,,
2052,Benishangul-Gumuz,Metekel,2017-06,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,66961.8666666667,122.45530266666701,,,
2053,Benishangul-Gumuz,Metekel,2017-07,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,299.667891742857,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,407154.0,16.142845,,,
2054,Benishangul-Gumuz,Metekel,2017-07,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67109.0,122.72437,,,
2055,Benishangul-Gumuz,Metekel,2017-08,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,319.639476371429,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,408046.7,16.1782387666667,,,
2056,Benishangul-Gumuz,Metekel,2017-08,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67256.1333333333,122.99343733333299,,,
2057,Benishangul-Gumuz,Metekel,2017-09,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,287.271484657143,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,408939.4,16.2136325333333,,,
2058,Benishangul-Gumuz,Metekel,2017-09,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67403.2666666667,123.262504666667,,,
2059,Benishangul-Gumuz,Metekel,2017-10,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,108.57175627,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,409832.1,16.2490263,,,
2060,Benishangul-Gumuz,Metekel,2017-10,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67550.4,123.531572,,,
2061,Benishangul-Gumuz,Metekel,2017-11,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,9.91090810457143,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,410724.8,16.284420066666698,,,
2062,Benishangul-Gumuz,Metekel,2017-11,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67697.5333333333,123.800639333333,,,
2063,Benishangul-Gumuz,Metekel,2017-12,Ethiopia-BENISHANGUL-GUMUZ REGION-METEKEL ZONE,5.958768561,2017.0,25243.12,21.17243,25221.95,ETH,Ethiopia,411617.5,16.319813833333303,,,
2064,Benishangul-Gumuz,Metekel,2017-12,Ethiopia-BENISHANGUL-GUMUZ REGION-PAWE SPECIAL WEREDA,,2017.0,546.827,0.0,546.827,ETH,Ethiopia,67844.6666666667,124.069706666667,,,
2065,Dire Dawa,East Hararghe,2011-01,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,0.759102009,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,414130.8,390.59548,,,
2066,Dire Dawa,East Hararghe,2011-02,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,1.9564716295,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,414978.36666666705,391.394878333333,,,
2067,Dire Dawa,East Hararghe,2011-03,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,7.105854042000001,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,415825.93333333294,392.194276666667,,,
2068,Dire Dawa,East Hararghe,2011-04,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,91.95978566,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,416673.5,392.993675,,,
2069,Dire Dawa,East Hararghe,2011-05,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,77.60407154,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,417521.06666666706,393.793073333333,,,
2070,Dire Dawa,East Hararghe,2011-06,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,35.14591628,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,418368.63333333295,394.592471666667,,,
2071,Dire Dawa,East Hararghe,2011-07,Ethiopia-DIRE DAWA CITY ADMINISTRATION-DIRE DAWA CITY ADMINISTRATION,100.034484615,2011.0,1060.255,0.0,1060.255,ETH,Ethiopia,419216.2,395.39187000000004,,,
