d3mIndex,administrative_area_level_1,administrative_area_level_2,parseDate,uniloc.x,precipitation,year,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,ISOALPHA,COUNTRYNM,un_wpp_pop_est_li,un_wpp_pop_dens_li,uniloc.y,Maize(white)-Retail_li,Wheat-Wholesale_li
21,Addis Ababa,,2012-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2012.0,542.9348,0.0,542.9348,ETH,Ethiopia,3374650.55,6215.57285,Ethiopia-Addis Ababa-Addis Ababa,,730.0
22,Addis Ababa,,2012-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2012.0,542.9348,0.0,542.9348,ETH,Ethiopia,3380072.9,6225.55996666667,Ethiopia-Addis Ababa-Addis Ababa,,666.0
23,Addis Ababa,,2012-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2012.0,542.9348,0.0,542.9348,ETH,Ethiopia,3385495.25,6235.54708333333,Ethiopia-Addis Ababa-Addis Ababa,,667.0
24,Addis Ababa,,2013-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3390917.6,6245.5342,Ethiopia-Addis Ababa-Addis Ababa,,732.6667
25,Addis Ababa,,2013-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3396339.95,6255.52131666667,Ethiopia-Addis Ababa-Addis Ababa,,749.259288888889
26,Addis Ababa,,2013-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3401762.3,6265.50843333333,Ethiopia-Addis Ababa-Addis Ababa,,765.851877777778
27,Addis Ababa,,2013-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3407184.65,6275.49555,Ethiopia-Addis Ababa-Addis Ababa,,782.444466666667
28,Addis Ababa,,2013-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3412607.0,6285.4826666666695,Ethiopia-Addis Ababa-Addis Ababa,,799.037055555556
29,Addis Ababa,,2013-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3418029.35,6295.46978333333,Ethiopia-Addis Ababa-Addis Ababa,,815.629644444444
30,Addis Ababa,,2013-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3423451.7,6305.4569,Ethiopia-Addis Ababa-Addis Ababa,,832.222233333333
31,Addis Ababa,,2013-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3428874.05,6315.44401666667,Ethiopia-Addis Ababa-Addis Ababa,,848.814822222222
32,Addis Ababa,,2013-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3434296.4,6325.43113333333,Ethiopia-Addis Ababa-Addis Ababa,,865.407411111111
33,Addis Ababa,,2013-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3439718.75,6335.41825,Ethiopia-Addis Ababa-Addis Ababa,,882.0
34,Addis Ababa,,2013-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3445141.1,6345.40536666667,Ethiopia-Addis Ababa-Addis Ababa,,845.0
35,Addis Ababa,,2013-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2013.0,542.9348,0.0,542.9348,ETH,Ethiopia,3450563.45,6355.39248333333,Ethiopia-Addis Ababa-Addis Ababa,,792.0
36,Addis Ababa,,2014-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3455985.8,6365.3796,Ethiopia-Addis Ababa-Addis Ababa,,898.6667
37,Addis Ababa,,2014-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3461408.15,6375.36671666667,Ethiopia-Addis Ababa-Addis Ababa,,913.037066666667
38,Addis Ababa,,2014-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3466830.5,6385.35383333333,Ethiopia-Addis Ababa-Addis Ababa,,927.407433333333
39,Addis Ababa,,2014-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3472252.85,6395.34095,Ethiopia-Addis Ababa-Addis Ababa,,941.7778
