"d3mIndex","Region","Zone","Date","Year","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","WheatRetailPrice_li","MaizeProductionQuintal","WheatProductionQuintal","MaizeYieldQtHa","WheatYieldQtHa","Month","AnyAction","IndirectConflict","DirectConflict","Protest"
1,"Afar","Afar Zone 1","2008-01",2008,14.010387009,35332.18,336.4713,34995.71,"ETH","Ethiopia",461347.2,13.182962,NA,NA,NA,NA,NA,NA,1,0,0,0,0
2,"Afar","Afar Zone 1","2008-02",2008,2.343149027875,35332.18,336.4713,34995.71,"ETH","Ethiopia",462223.066666667,13.2079898333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
3,"Afar","Afar Zone 1","2008-03",2008,3.537205040125,35332.18,336.4713,34995.71,"ETH","Ethiopia",463098.933333333,13.2330176666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
4,"Afar","Afar Zone 1","2008-04",2008,20.474360467875,35332.18,336.4713,34995.71,"ETH","Ethiopia",463974.8,13.2580455,NA,NA,NA,NA,NA,NA,4,0,0,0,0
5,"Afar","Afar Zone 1","2008-05",2008,17.01483356025,35332.18,336.4713,34995.71,"ETH","Ethiopia",464850.666666667,13.2830733333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
6,"Afar","Afar Zone 1","2008-06",2008,10.79653084425,35332.18,336.4713,34995.71,"ETH","Ethiopia",465726.533333333,13.3081011666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
7,"Afar","Afar Zone 1","2008-07",2008,71.71671906375,35332.18,336.4713,34995.71,"ETH","Ethiopia",466602.4,13.333129,NA,NA,NA,NA,NA,NA,7,0,0,0,0
8,"Afar","Afar Zone 1","2008-08",2008,90.88721192125,35332.18,336.4713,34995.71,"ETH","Ethiopia",467478.266666667,13.3581568333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
9,"Afar","Afar Zone 1","2008-09",2008,41.84391858375,35332.18,336.4713,34995.71,"ETH","Ethiopia",468354.133333333,13.3831846666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
10,"Afar","Afar Zone 1","2008-10",2008,13.08305729275,35332.18,336.4713,34995.71,"ETH","Ethiopia",469230,13.4082125,NA,NA,NA,NA,NA,NA,10,0,0,0,0
11,"Afar","Afar Zone 1","2008-11",2008,29.892672778625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470105.866666667,13.4332403333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
12,"Afar","Afar Zone 1","2008-12",2008,4.177060570625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470981.733333333,13.4582681666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
13,"Afar","Afar Zone 1","2009-01",2009,20.237892030125,35332.18,336.4713,34995.71,"ETH","Ethiopia",471857.6,13.483296,NA,NA,NA,NA,NA,NA,1,0,0,0,0
14,"Afar","Afar Zone 1","2009-02",2009,3.57051321625,35332.18,336.4713,34995.71,"ETH","Ethiopia",472733.466666667,13.5083238333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
15,"Afar","Afar Zone 1","2009-03",2009,11.180413376125,35332.18,336.4713,34995.71,"ETH","Ethiopia",473609.333333333,13.5333516666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
16,"Afar","Afar Zone 1","2009-04",2009,20.87326843625,35332.18,336.4713,34995.71,"ETH","Ethiopia",474485.2,13.5583795,NA,NA,NA,NA,NA,NA,4,0,0,0,0
17,"Afar","Afar Zone 1","2009-05",2009,4.3731772585,35332.18,336.4713,34995.71,"ETH","Ethiopia",475361.066666667,13.5834073333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
18,"Afar","Afar Zone 1","2009-06",2009,10.612129072375,35332.18,336.4713,34995.71,"ETH","Ethiopia",476236.933333333,13.6084351666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
19,"Afar","Afar Zone 1","2009-07",2009,84.1767834875,35332.18,336.4713,34995.71,"ETH","Ethiopia",477112.8,13.633463,NA,NA,NA,NA,NA,NA,7,0,0,0,0
20,"Afar","Afar Zone 1","2009-08",2009,114.21644057125,35332.18,336.4713,34995.71,"ETH","Ethiopia",477988.666666667,13.6584908333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
21,"Afar","Afar Zone 1","2009-09",2009,14.01764777625,35332.18,336.4713,34995.71,"ETH","Ethiopia",478864.533333333,13.6835186666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
22,"Afar","Afar Zone 1","2009-10",2009,26.062280435,35332.18,336.4713,34995.71,"ETH","Ethiopia",479740.4,13.7085465,NA,NA,NA,NA,NA,NA,10,0,0,0,0
23,"Afar","Afar Zone 1","2009-11",2009,10.136100555875,35332.18,336.4713,34995.71,"ETH","Ethiopia",480616.266666667,13.7335743333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
24,"Afar","Afar Zone 1","2009-12",2009,7.93894894075,35332.18,336.4713,34995.71,"ETH","Ethiopia",481492.133333333,13.7586021666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
25,"Afar","Afar Zone 1","2010-01",2010,1.01327206425,35332.18,336.4713,34995.71,"ETH","Ethiopia",482368,13.78363,NA,NA,NA,NA,NA,NA,1,0,0,0,0
26,"Afar","Afar Zone 1","2010-02",2010,27.323939095,35332.18,336.4713,34995.71,"ETH","Ethiopia",483284.633333333,13.8098228333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
27,"Afar","Afar Zone 1","2010-03",2010,37.083638647,35332.18,336.4713,34995.71,"ETH","Ethiopia",484201.266666667,13.8360156666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
28,"Afar","Afar Zone 1","2010-04",2010,74.3167827775,35332.18,336.4713,34995.71,"ETH","Ethiopia",485117.9,13.8622085,NA,NA,NA,NA,NA,NA,4,0,0,0,0
29,"Afar","Afar Zone 1","2010-05",2010,53.92334942625,35332.18,336.4713,34995.71,"ETH","Ethiopia",486034.533333333,13.8884013333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
30,"Afar","Afar Zone 1","2010-06",2010,5.9998971295,35332.18,336.4713,34995.71,"ETH","Ethiopia",486951.166666667,13.9145941666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
31,"Afar","Afar Zone 1","2010-07",2010,98.60770895875,35332.18,336.4713,34995.71,"ETH","Ethiopia",487867.8,13.940787,NA,NA,NA,NA,NA,NA,7,0,0,0,0
32,"Afar","Afar Zone 1","2010-08",2010,224.9282449075,35332.18,336.4713,34995.71,"ETH","Ethiopia",488784.433333333,13.9669798333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
33,"Afar","Afar Zone 1","2010-09",2010,38.243354245,35332.18,336.4713,34995.71,"ETH","Ethiopia",489701.066666667,13.9931726666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
34,"Afar","Afar Zone 1","2010-10",2010,9.91441357725,35332.18,336.4713,34995.71,"ETH","Ethiopia",490617.7,14.0193655,NA,NA,NA,NA,NA,NA,10,0,0,0,0
35,"Afar","Afar Zone 1","2010-11",2010,6.080268838125,35332.18,336.4713,34995.71,"ETH","Ethiopia",491534.333333333,14.0455583333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
36,"Afar","Afar Zone 1","2010-12",2010,2.118654386875,35332.18,336.4713,34995.71,"ETH","Ethiopia",492450.966666667,14.0717511666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
37,"Afar","Afar Zone 1","2011-01",2011,2.890281892125,35332.18,336.4713,34995.71,"ETH","Ethiopia",493367.6,14.097944,NA,NA,NA,NA,NA,NA,1,2,2,1,0
38,"Afar","Afar Zone 1","2011-02",2011,2.262574256625,35332.18,336.4713,34995.71,"ETH","Ethiopia",494284.233333333,14.1241368333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
39,"Afar","Afar Zone 1","2011-03",2011,22.707960530375,35332.18,336.4713,34995.71,"ETH","Ethiopia",495200.866666667,14.1503296666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
40,"Afar","Afar Zone 1","2011-04",2011,10.816188958,35332.18,336.4713,34995.71,"ETH","Ethiopia",496117.5,14.1765225,NA,NA,NA,NA,NA,NA,4,0,0,0,0
41,"Afar","Afar Zone 1","2011-05",2011,75.48638626375,35332.18,336.4713,34995.71,"ETH","Ethiopia",497034.133333333,14.2027153333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
42,"Afar","Afar Zone 1","2011-06",2011,4.10148568225,35332.18,336.4713,34995.71,"ETH","Ethiopia",497950.766666667,14.2289081666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
43,"Afar","Afar Zone 1","2011-07",2011,47.37346956375,35332.18,336.4713,34995.71,"ETH","Ethiopia",498867.4,14.255101,NA,NA,NA,NA,NA,NA,7,0,0,0,0
44,"Afar","Afar Zone 1","2011-08",2011,151.7970213525,35332.18,336.4713,34995.71,"ETH","Ethiopia",499784.033333333,14.2812938333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
45,"Afar","Afar Zone 1","2011-09",2011,31.244926935,35332.18,336.4713,34995.71,"ETH","Ethiopia",500700.666666667,14.3074866666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
46,"Afar","Afar Zone 1","2011-10",2011,20.92917343625,35332.18,336.4713,34995.71,"ETH","Ethiopia",501617.3,14.3336795,NA,NA,NA,NA,NA,NA,10,0,0,0,0
47,"Afar","Afar Zone 1","2011-11",2011,9.178929343875,35332.18,336.4713,34995.71,"ETH","Ethiopia",502533.933333333,14.3598723333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
48,"Afar","Afar Zone 1","2011-12",2011,5.664892631875,35332.18,336.4713,34995.71,"ETH","Ethiopia",503450.566666667,14.3860651666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
49,"Afar","Afar Zone 1","2012-01",2012,6.877377578875,35332.18,336.4713,34995.71,"ETH","Ethiopia",504367.2,14.412258,NA,NA,NA,NA,NA,NA,1,1,1,1,0
50,"Afar","Afar Zone 1","2012-02",2012,7.159863118625,35332.18,336.4713,34995.71,"ETH","Ethiopia",505283.833333333,14.4384508333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
51,"Afar","Afar Zone 1","2012-03",2012,24.524956147375,35332.18,336.4713,34995.71,"ETH","Ethiopia",506200.466666667,14.4646436666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
52,"Afar","Afar Zone 1","2012-04",2012,91.49589461,35332.18,336.4713,34995.71,"ETH","Ethiopia",507117.1,14.4908365,NA,NA,NA,NA,NA,NA,4,0,0,0,0
53,"Afar","Afar Zone 1","2012-05",2012,15.996442936875,35332.18,336.4713,34995.71,"ETH","Ethiopia",508033.733333333,14.5170293333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
54,"Afar","Afar Zone 1","2012-06",2012,7.36701746425,35332.18,336.4713,34995.71,"ETH","Ethiopia",508950.366666667,14.5432221666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
55,"Afar","Afar Zone 1","2012-07",2012,111.674511515,35332.18,336.4713,34995.71,"ETH","Ethiopia",509867,14.569415,NA,NA,NA,NA,NA,NA,7,0,0,0,0
56,"Afar","Afar Zone 1","2012-08",2012,141.2057984875,35332.18,336.4713,34995.71,"ETH","Ethiopia",510783.633333333,14.5956078333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
57,"Afar","Afar Zone 1","2012-09",2012,21.99626244125,35332.18,336.4713,34995.71,"ETH","Ethiopia",511700.266666667,14.6218006666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
58,"Afar","Afar Zone 1","2012-10",2012,1.201166279375,35332.18,336.4713,34995.71,"ETH","Ethiopia",512616.9,14.6479935,NA,NA,NA,NA,NA,NA,10,0,0,0,0
59,"Afar","Afar Zone 1","2012-11",2012,0.69927816725,35332.18,336.4713,34995.71,"ETH","Ethiopia",513533.533333333,14.6741863333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
60,"Afar","Afar Zone 1","2012-12",2012,1.981669074875,35332.18,336.4713,34995.71,"ETH","Ethiopia",514450.166666667,14.7003791666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
61,"Afar","Afar Zone 1","2013-01",2013,5.3321853165,35332.18,336.4713,34995.71,"ETH","Ethiopia",515366.8,14.726572,NA,NA,NA,NA,NA,NA,1,0,0,0,0
62,"Afar","Afar Zone 1","2013-02",2013,2.084389347125,35332.18,336.4713,34995.71,"ETH","Ethiopia",516283.433333333,14.7527648333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
63,"Afar","Afar Zone 1","2013-03",2013,77.25712032125,35332.18,336.4713,34995.71,"ETH","Ethiopia",517200.066666667,14.7789576666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
64,"Afar","Afar Zone 1","2013-04",2013,53.04351704375,35332.18,336.4713,34995.71,"ETH","Ethiopia",518116.7,14.8051505,NA,NA,NA,NA,NA,NA,4,0,0,0,0
65,"Afar","Afar Zone 1","2013-05",2013,22.70125798,35332.18,336.4713,34995.71,"ETH","Ethiopia",519033.333333333,14.8313433333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
66,"Afar","Afar Zone 1","2013-06",2013,1.085399916125,35332.18,336.4713,34995.71,"ETH","Ethiopia",519949.966666667,14.8575361666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
67,"Afar","Afar Zone 1","2013-07",2013,84.3843723,35332.18,336.4713,34995.71,"ETH","Ethiopia",520866.6,14.883729,NA,NA,NA,NA,NA,NA,7,0,0,0,0
68,"Afar","Afar Zone 1","2013-08",2013,139.231890155,35332.18,336.4713,34995.71,"ETH","Ethiopia",521783.233333333,14.9099218333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
69,"Afar","Afar Zone 1","2013-09",2013,31.776696075,35332.18,336.4713,34995.71,"ETH","Ethiopia",522699.866666667,14.9361146666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
70,"Afar","Afar Zone 1","2013-10",2013,56.33267647625,35332.18,336.4713,34995.71,"ETH","Ethiopia",523616.5,14.9623075,NA,NA,NA,NA,NA,NA,10,0,0,0,0
71,"Afar","Afar Zone 1","2013-11",2013,2.89021728775,35332.18,336.4713,34995.71,"ETH","Ethiopia",524533.133333333,14.9885003333333,NA,NA,NA,NA,NA,NA,11,1,0,0,0
72,"Afar","Afar Zone 1","2013-12",2013,5.818399387375,35332.18,336.4713,34995.71,"ETH","Ethiopia",525449.766666667,15.0146931666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
73,"Afar","Afar Zone 1","2014-01",2014,2.562915841625,35332.18,336.4713,34995.71,"ETH","Ethiopia",526366.4,15.040886,NA,NA,NA,NA,NA,NA,1,0,0,0,0
74,"Afar","Afar Zone 1","2014-02",2014,4.581284573,35332.18,336.4713,34995.71,"ETH","Ethiopia",527283.033333333,15.0670788333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
75,"Afar","Afar Zone 1","2014-03",2014,31.78617861625,35332.18,336.4713,34995.71,"ETH","Ethiopia",528199.666666667,15.0932716666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
76,"Afar","Afar Zone 1","2014-04",2014,44.4503980175,35332.18,336.4713,34995.71,"ETH","Ethiopia",529116.3,15.1194645,NA,NA,NA,NA,NA,NA,4,0,0,0,0
77,"Afar","Afar Zone 1","2014-05",2014,49.33014159625,35332.18,336.4713,34995.71,"ETH","Ethiopia",530032.933333333,15.1456573333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
78,"Afar","Afar Zone 1","2014-06",2014,5.75420150725,35332.18,336.4713,34995.71,"ETH","Ethiopia",530949.566666667,15.1718501666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
79,"Afar","Afar Zone 1","2014-07",2014,80.77575595875,35332.18,336.4713,34995.71,"ETH","Ethiopia",531866.2,15.198043,NA,NA,NA,NA,NA,NA,7,0,0,0,0
80,"Afar","Afar Zone 1","2014-08",2014,118.11536308875,35332.18,336.4713,34995.71,"ETH","Ethiopia",532782.833333333,15.2242358333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
81,"Afar","Afar Zone 1","2014-09",2014,60.3489966275,35332.18,336.4713,34995.71,"ETH","Ethiopia",533699.466666667,15.2504286666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
82,"Afar","Afar Zone 1","2014-10",2014,52.1281044375,35332.18,336.4713,34995.71,"ETH","Ethiopia",534616.1,15.2766215,NA,NA,NA,NA,NA,NA,10,0,0,0,0
83,"Afar","Afar Zone 1","2014-11",2014,1.54507516725,35332.18,336.4713,34995.71,"ETH","Ethiopia",535532.733333333,15.3028143333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
84,"Afar","Afar Zone 1","2014-12",2014,13.13583748125,35332.18,336.4713,34995.71,"ETH","Ethiopia",536449.366666667,15.3290071666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
85,"Afar","Afar Zone 1","2015-01",2015,4.307398331,35332.18,336.4713,34995.71,"ETH","Ethiopia",537366,15.3552,6.75,NA,NA,NA,NA,NA,1,0,0,0,0
86,"Afar","Afar Zone 1","2015-02",2015,2.112789985375,35332.18,336.4713,34995.71,"ETH","Ethiopia",538307.65,15.3821075,6.75555555555556,NA,NA,NA,NA,NA,2,0,0,0,0
87,"Afar","Afar Zone 1","2015-03",2015,22.121618572625,35332.18,336.4713,34995.71,"ETH","Ethiopia",539249.3,15.409015,6.76111111111111,NA,NA,NA,NA,NA,3,0,0,0,0
88,"Afar","Afar Zone 1","2015-04",2015,31.0772374625,35332.18,336.4713,34995.71,"ETH","Ethiopia",540190.95,15.4359225,6.76666666666667,NA,NA,NA,NA,NA,4,0,0,0,0
89,"Afar","Afar Zone 1","2015-05",2015,44.985527975,35332.18,336.4713,34995.71,"ETH","Ethiopia",541132.6,15.46283,6.77222222222222,NA,NA,NA,NA,NA,5,0,0,0,0
90,"Afar","Afar Zone 1","2015-06",2015,16.41889228625,35332.18,336.4713,34995.71,"ETH","Ethiopia",542074.25,15.4897375,6.77777777777778,NA,NA,NA,NA,NA,6,0,0,0,0
91,"Afar","Afar Zone 1","2015-07",2015,27.888715635,35332.18,336.4713,34995.71,"ETH","Ethiopia",543015.9,15.516645,6.78333333333333,NA,NA,NA,NA,NA,7,0,0,0,0
92,"Afar","Afar Zone 1","2015-08",2015,169.330575925,35332.18,336.4713,34995.71,"ETH","Ethiopia",543957.55,15.5435525,6.78888888888889,NA,NA,NA,NA,NA,8,0,0,0,0
93,"Afar","Afar Zone 1","2015-09",2015,53.13863651375,35332.18,336.4713,34995.71,"ETH","Ethiopia",544899.2,15.57046,6.79444444444444,NA,NA,NA,NA,NA,9,0,0,0,0
94,"Afar","Afar Zone 1","2015-10",2015,4.764977074625,35332.18,336.4713,34995.71,"ETH","Ethiopia",545840.85,15.5973675,6.8,NA,NA,NA,NA,NA,10,0,0,0,0
95,"Afar","Afar Zone 1","2015-11",2015,6.17572606075,35332.18,336.4713,34995.71,"ETH","Ethiopia",546782.5,15.624275,6,NA,NA,NA,NA,NA,11,0,0,0,0
96,"Afar","Afar Zone 1","2015-12",2015,6.15741897,35332.18,336.4713,34995.71,"ETH","Ethiopia",547724.15,15.6511825,6,NA,NA,NA,NA,NA,12,0,0,0,0
97,"Afar","Afar Zone 1","2016-01",2016,21.46349313125,35332.18,336.4713,34995.71,"ETH","Ethiopia",548665.8,15.67809,6,NA,NA,NA,NA,NA,1,0,0,0,0
98,"Afar","Afar Zone 1","2016-02",2016,16.1239644555,35332.18,336.4713,34995.71,"ETH","Ethiopia",549607.45,15.7049975,NA,NA,NA,NA,NA,NA,2,0,0,0,0
99,"Afar","Afar Zone 1","2016-03",2016,9.325413845875,35332.18,336.4713,34995.71,"ETH","Ethiopia",550549.1,15.731905,NA,NA,NA,NA,NA,NA,3,1,1,1,0
100,"Afar","Afar Zone 1","2016-04",2016,101.52341274,35332.18,336.4713,34995.71,"ETH","Ethiopia",551490.75,15.7588125,NA,NA,NA,NA,NA,NA,4,0,0,0,0
101,"Afar","Afar Zone 1","2016-05",2016,39.05451388625,35332.18,336.4713,34995.71,"ETH","Ethiopia",552432.4,15.78572,NA,NA,NA,NA,NA,NA,5,0,0,0,0
102,"Afar","Afar Zone 1","2016-06",2016,24.090285767375,35332.18,336.4713,34995.71,"ETH","Ethiopia",553374.05,15.8126275,NA,NA,NA,NA,NA,NA,6,1,0,0,1
103,"Afar","Afar Zone 1","2016-07",2016,116.86014478375,35332.18,336.4713,34995.71,"ETH","Ethiopia",554315.7,15.839535,NA,NA,NA,NA,NA,NA,7,0,0,0,0
104,"Afar","Afar Zone 1","2016-08",2016,138.7357343325,35332.18,336.4713,34995.71,"ETH","Ethiopia",555257.35,15.8664425,NA,NA,NA,NA,NA,NA,8,0,0,0,0
105,"Afar","Afar Zone 1","2016-09",2016,37.15265879125,35332.18,336.4713,34995.71,"ETH","Ethiopia",556199,15.89335,NA,NA,NA,NA,NA,NA,9,0,0,0,0
106,"Afar","Afar Zone 1","2016-10",2016,6.015603052375,35332.18,336.4713,34995.71,"ETH","Ethiopia",557140.65,15.9202575,NA,NA,NA,NA,NA,NA,10,0,0,0,0
107,"Afar","Afar Zone 1","2016-11",2016,11.451953082875,35332.18,336.4713,34995.71,"ETH","Ethiopia",558082.3,15.947165,NA,NA,NA,NA,NA,NA,11,0,0,0,0
108,"Afar","Afar Zone 1","2016-12",2016,5.942137698125,35332.18,336.4713,34995.71,"ETH","Ethiopia",559023.95,15.9740725,NA,NA,NA,NA,NA,NA,12,0,0,0,0
109,"Afar","Afar Zone 1","2017-01",2017,9.500334854,35332.18,336.4713,34995.71,"ETH","Ethiopia",559965.6,16.00098,NA,NA,NA,NA,NA,NA,1,0,0,0,0
110,"Afar","Afar Zone 1","2017-02",2017,26.02396336,35332.18,336.4713,34995.71,"ETH","Ethiopia",560907.25,16.0278875,NA,NA,NA,NA,NA,NA,2,0,0,0,0
111,"Afar","Afar Zone 1","2017-03",2017,38.089115805,35332.18,336.4713,34995.71,"ETH","Ethiopia",561848.9,16.054795,NA,NA,NA,NA,NA,NA,3,0,0,0,0
112,"Afar","Afar Zone 1","2017-04",2017,37.52172974375,35332.18,336.4713,34995.71,"ETH","Ethiopia",562790.55,16.0817025,NA,NA,NA,NA,NA,NA,4,0,0,0,0
113,"Afar","Afar Zone 1","2017-05",2017,38.154846505,35332.18,336.4713,34995.71,"ETH","Ethiopia",563732.2,16.10861,NA,NA,NA,NA,NA,NA,5,1,0,0,0
114,"Afar","Afar Zone 1","2017-06",2017,8.643979320625,35332.18,336.4713,34995.71,"ETH","Ethiopia",564673.85,16.1355175,NA,NA,NA,NA,NA,NA,6,0,0,0,0
115,"Afar","Afar Zone 1","2017-07",2017,63.88490483125,35332.18,336.4713,34995.71,"ETH","Ethiopia",565615.5,16.162425,NA,NA,NA,NA,NA,NA,7,1,0,1,0
116,"Afar","Afar Zone 1","2017-08",2017,107.693226735,35332.18,336.4713,34995.71,"ETH","Ethiopia",566557.15,16.1893325,NA,NA,NA,NA,NA,NA,8,0,0,0,0
117,"Afar","Afar Zone 1","2017-09",2017,59.37377066875,35332.18,336.4713,34995.71,"ETH","Ethiopia",567498.8,16.21624,NA,NA,NA,NA,NA,NA,9,0,0,0,0
118,"Afar","Afar Zone 1","2017-10",2017,19.19733634375,35332.18,336.4713,34995.71,"ETH","Ethiopia",568440.45,16.2431475,NA,NA,NA,NA,NA,NA,10,0,0,0,0
119,"Afar","Afar Zone 1","2017-11",2017,6.287576923875,35332.18,336.4713,34995.71,"ETH","Ethiopia",569382.1,16.270055,NA,NA,NA,NA,NA,NA,11,0,0,0,0
120,"Afar","Afar Zone 1","2017-12",2017,7.906969781375,35332.18,336.4713,34995.71,"ETH","Ethiopia",570323.75,16.2969625,NA,NA,NA,NA,NA,NA,12,0,0,0,0
121,"Afar","Afar Zone 1","2018-01",2018,5.87122958244436,35332.18,336.4713,34995.71,"ETH","Ethiopia",571265.4,16.32387,NA,NA,NA,NA,NA,NA,1,0,0,0,0
122,"Afar","Afar Zone 1","2018-02",2018,15.680249044953,35332.18,336.4713,34995.71,"ETH","Ethiopia",572207.05,16.3507775,NA,NA,NA,NA,NA,NA,2,0,0,0,0
123,"Afar","Afar Zone 1","2018-03",2018,31.4123935626751,35332.18,336.4713,34995.71,"ETH","Ethiopia",573148.7,16.377685,NA,NA,NA,NA,NA,NA,3,0,0,0,0
124,"Afar","Afar Zone 1","2018-04",2018,62.4054372059234,35332.18,336.4713,34995.71,"ETH","Ethiopia",574090.35,16.4045925,NA,NA,NA,NA,NA,NA,4,0,0,0,0
125,"Afar","Afar Zone 1","2018-05",2018,11.8911770356263,35332.18,336.4713,34995.71,"ETH","Ethiopia",575032,16.4315,NA,NA,NA,NA,NA,NA,5,0,0,0,0
126,"Afar","Afar Zone 1","2018-06",2018,16.3342350345425,35332.18,336.4713,34995.71,"ETH","Ethiopia",575973.65,16.4584075,NA,NA,NA,NA,NA,NA,6,0,0,0,0
127,"Afar","Afar Zone 1","2018-07",2018,99.1960810673909,35332.18,336.4713,34995.71,"ETH","Ethiopia",576915.3,16.485315,NA,NA,NA,NA,NA,NA,7,0,0,0,0
128,"Afar","Afar Zone 1","2018-08",2018,115.393759437965,35332.18,336.4713,34995.71,"ETH","Ethiopia",577856.95,16.5122225,NA,NA,NA,NA,NA,NA,8,0,0,0,0
129,"Afar","Afar Zone 1","2018-09",2018,55.3393646723584,35332.18,336.4713,34995.71,"ETH","Ethiopia",578798.6,16.53913,NA,NA,NA,NA,NA,NA,9,0,0,0,0
130,"Afar","Afar Zone 1","2018-10",2018,17.4194649117481,35332.18,336.4713,34995.71,"ETH","Ethiopia",579740.25,16.5660375,NA,NA,NA,NA,NA,NA,10,0,0,0,0
131,"Afar","Afar Zone 1","2018-11",2018,15.1360523869848,35332.18,336.4713,34995.71,"ETH","Ethiopia",580681.9,16.592945,NA,NA,NA,NA,NA,NA,11,0,0,0,0
132,"Afar","Afar Zone 1","2018-12",2018,2.34882138114156,35332.18,336.4713,34995.71,"ETH","Ethiopia",581623.55,16.6198525,NA,NA,NA,NA,NA,NA,12,0,0,0,0
133,"Afar","Afar Zone 1","2019-01",2019,0.983432234102021,35332.18,336.4713,34995.71,"ETH","Ethiopia",582565.2,16.64676,NA,NA,NA,NA,NA,NA,1,0,0,0,0
134,"Afar","Afar Zone 1","2019-02",2019,19.9336786979429,35332.18,336.4713,34995.71,"ETH","Ethiopia",583506.85,16.6736675,NA,NA,NA,NA,NA,NA,2,0,0,0,0
135,"Afar","Afar Zone 1","2019-03",2019,29.1691951665555,35332.18,336.4713,34995.71,"ETH","Ethiopia",584448.5,16.700575,NA,NA,NA,NA,NA,NA,3,0,0,0,0
136,"Afar","Afar Zone 1","2019-04",2019,32.8520579596694,35332.18,336.4713,34995.71,"ETH","Ethiopia",585390.15,16.7274825,NA,NA,NA,NA,NA,NA,4,0,0,0,0
137,"Afar","Afar Zone 1","2019-05",2019,32.3561477923595,35332.18,336.4713,34995.71,"ETH","Ethiopia",586331.8,16.75439,NA,NA,NA,NA,NA,NA,5,0,0,0,0
138,"Afar","Afar Zone 1","2019-06",2019,17.5591916258512,35332.18,336.4713,34995.71,"ETH","Ethiopia",587273.45,16.7812975,NA,NA,NA,NA,NA,NA,6,0,0,0,0
139,"Afar","Afar Zone 1","2019-07",2019,50.2388687707198,35332.18,336.4713,34995.71,"ETH","Ethiopia",588215.1,16.808205,NA,NA,NA,NA,NA,NA,7,0,0,0,0
140,"Afar","Afar Zone 1","2019-08",2019,92.0913917487265,35332.18,336.4713,34995.71,"ETH","Ethiopia",589156.75,16.8351125,NA,NA,NA,NA,NA,NA,8,0,0,0,0
